month,sun,midsun,cloud,day_sum,%sun,%midsun,%cloud,avg_temp,sunrice,sunset,sunrice_minutes,sunset_minutes,suntime_minutes,suntime
1,3.6,10.4,17.0,31.0,0.116129032258065,0.335483870967742,0.548387096774194,2,1900-01-01 07:29:00,1900-01-01 16:08:00,449.83870967741933,968.2903225806451,518.4516129032259,1900-01-01 08:38:00
2,3.2,10.0,15.0,28.2,0.113475177304965,0.354609929078014,0.531914893617021,3,1900-01-01 06:49:00,1900-01-01 16:57:00,409.44827586206895,1017.5172413793103,608.0689655172414,1900-01-01 10:08:00
3,4.4,13.5,13.1,31.0,0.141935483870968,0.435483870967742,0.42258064516129,8,1900-01-01 06:00:00,1900-01-01 17:55:00,360.5483870967742,1075.3548387096773,714.8064516129032,1900-01-01 11:54:00
4,5.7,14.9,9.4,30.0,0.19,0.496666666666667,0.313333333333333,15,1900-01-01 05:45:00,1900-01-01 19:33:00,345.8333333333333,1173.9,828.0666666666668,1900-01-01 13:48:00
5,6.6,16.3,8.1,31.0,0.212903225806452,0.525806451612903,0.261290322580645,20,1900-01-01 04:53:00,1900-01-01 20:19:00,293.258064516129,1219.7096774193549,926.4516129032259,1900-01-01 15:26:00
6,4.8,18.0,7.2,30.0,0.16,0.6,0.24,23,1900-01-01 04:31:00,1900-01-01 20:49:00,271.4,1249.4666666666667,978.0666666666667,1900-01-01 16:18:00
7,7.7,17.0,6.3,31.0,0.248387096774194,0.548387096774194,0.203225806451613,25,1900-01-01 04:49:00,1900-01-01 20:41:00,289.2258064516129,1241.6774193548388,952.4516129032259,1900-01-01 15:52:00
8,8.5,16.3,6.2,31.0,0.274193548387097,0.525806451612903,0.2,26,1900-01-01 05:30:00,1900-01-01 19:56:00,330.9032258064516,1196.516129032258,865.6129032258065,1900-01-01 14:25:00
9,7.5,13.5,9.0,30.0,0.25,0.45,0.3,21,1900-01-01 06:16:00,1900-01-01 18:53:00,376.5,1133.2,756.7,1900-01-01 12:36:00
10,9.2,12.4,9.4,31.0,0.296774193548387,0.4,0.303225806451613,16,1900-01-01 06:59:00,1900-01-01 17:44:00,419.64516129032256,1064.032258064516,644.3870967741935,1900-01-01 10:44:00
11,4.7,12.0,13.3,30.0,0.156666666666667,0.4,0.443333333333333,9,1900-01-01 06:53:00,1900-01-01 15:56:00,413.1333333333333,956.7,543.5666666666667,1900-01-01 09:03:00
12,3.9,9.8,17.3,31.0,0.125806451612903,0.316129032258065,0.558064516129032,3,1900-01-01 07:30:00,1900-01-01 15:40:00,450.7096774193548,940.1935483870968,489.483870967742,1900-01-01 08:09:00
